index,ln_ches,pi_logratio,dpo_surrogate_loss,len_w,len_l
338,-286.83349609375,38.4765625,1.9491318340368796e-17,33,31
339,53.092529296875,-94.421875,94.421875,36,31
340,106.543212890625,-714.4921875,500.0,77,35
341,47.044921875,-287.4140625,287.4140625,109,85
342,-39.9248046875,8.1875,0.00027806960861198604,32,32
343,-205.9306640625,183.9765625,-0.0,20,31
344,-321.56689453125,110.9296875,-0.0,21,27
345,-32.847412109375,-528.41455078125,500.0,474,457
346,-373.39990234375,194.75,-0.0,30,39
347,-196.619384765625,15.34375,2.16917200646094e-07,24,24
348,-28.001708984375,-3301.72265625,500.0,481,288
349,-64.013427734375,-267.21484375,267.21484375,459,453
350,-243.66357421875,114.1640625,-0.0,21,30
351,109.40869140625,-398.2890625,398.2890625,41,21
352,12.08984375,-1480.6757807731628,500.0,466,366
353,4.412841796875,3.3984375,0.032878972589969635,27,27
354,-203.712890625,-74.3046875,74.3046875,43,40
355,-60.211669921875,58.9140625,2.5938674091528085e-26,38,41
356,-132.40380859375,-7519.171875,500.0,478,39
357,-21.072998046875,18.8828125,6.299393451314472e-09,29,30
358,-19.365966796875,-255.984375,255.984375,44,29
359,-109.865234375,-307.921875,307.921875,51,32
360,-341.978515625,175.60546875,-0.0,35,48
361,-205.483154296875,-70.8359375,70.8359375,30,27
362,-5.432373046875,-230.953125,230.953125,45,34
363,132.10693359375,-551.2243843078613,500.0,457,451
364,-26.704345703125,85.59375,6.715938129720806e-38,26,32
365,-41.785888671875,-304.3828125,304.3828125,49,34
366,-413.841796875,4340.3828125,-0.0,43,317
367,-187.171630859375,53.7109375,4.716678238406952e-24,23,24
368,-176.93798828125,21.4921875,4.6351261717703096e-10,34,34
369,-343.600341796875,100.453125,2.2420775429197073e-44,29,37
